〇,ling|xing|yuan
㖻,niu|rou
㖼,duo
㖽,ze
㖾,e
㖿,xie|ye
㗀,you
㗁,e
㗂,sheng
㗃,hun|wen
㗄,ku
㗅,hu
㗆,ge
㗇,xia|ya
㗈,man
㗉,e|lve
㗊,ji|lei
㗋,hou
㗌,zhi
㗏,wai
㗑,bai
㗒,ai
㗓,zhui
㗔,qian
㗕,gou
㗖,dan
㗗,bei
㗘,bo
㗙,chu|na|zhou
㗚,li
㗛,xiao
㗜,xiu
㗢,dong|hong
㗣,ti
㗤,cu
㗥,guo|kuo
㗦,lao
㗧,die|zhi
㗨,ai|xie
㗩,xi
㗫,qie
㗬,zha
㗭,xi
㗰,cong
㗱,ji
㗲,huo
㗳,da|ta
㗴,yan
㗵,xu
㗶,po
㗷,sai
㗻,guo
㗼,ye
㗽,xiang
㗾,xue
㗿,he|xia
㘀,zuo
㘁,yi
㘂,ci
㘄,leng
㘅,xian
㘆,tai
㘇,rong
㘈,ni|yi
㘉,zhi
㘊,xi|yi
㘋,xian
㘌,ju
㘍,ji
㘎,han
㘐,pao
㘑,li
㘓,lan
㘔,sai
㘕,han|lan
㘖,yan
㘗,qu
㘙,yan
㘚,han
㘛,kan
㘜,chi
㘝,nie
㘞,huo
㘠,bi
㘡,xia
㘢,weng
㘣,xuan|yuan
㘤,wan
㘥,you
㘦,qin
㘧,xu
㘨,nie
㘩,bi
㘪,hao
㘫,jing
㘬,ao|wu
㘭,ao
㘰,zhen
㘱,tan
㘲,ju
㘴,zuo
㘵,bu
㘶,jie
㘷,ai
㘸,zang|zuo
㘹,ci
㘺,fa
㘿,nie
㙀,jiu|liu
㙁,mei|mu
㙂,dui|weng
㙃,bang
㙄,bi
㙅,bao
㙇,chu
㙈,xia
㙉,tian
㙊,chang|zhang
㙍,duo
㙎,wei
㙏,fu
㙐,duo
㙑,yu
㙒,ye
㙓,kui
㙔,han|wei
㙕,kuai
㙗,wei
㙘,yao
㙙,long
㙚,xing
㙛,bu
㙜,chi
㙝,xie
㙞,nie
㙟,lang
㙠,yi
㙡,zong
㙢,man
㙣,zhang
㙤,xia
㙥,gun
㙦,xie
㙨,ji
㙩,liao
㙪,yi
㙫,ji
㙬,yin
㙮,da
㙯,yi
㙰,xie
㙱,hao
㙲,yong
㙳,han|kan
㙴,chan
㙵,tai
㙶,tang
㙷,zhe|zhi
㙸,bao
㙹,meng
㙺,gui|kui
㙻,chan
㙼,lei
㙾,xi
㚀,xi
㚁,qiao
㚂,nang
㚃,yun
㚅,long
㚆,fu
㚇,zong
㚉,gu
㚊,kai
㚋,diao
㚌,hua
㚍,kui
㚏,gao
㚐,tao
㚒,shan
㚓,lai
㚔,nie|xing
㚕,fu
㚖,gao|ze
㚗,qie
㚘,ban|fu|he
㚙,jia
㚚,kong|kuang
㚛,xi
㚜,xu|yu
㚝,zhui
㚞,shen
㚟,chuo
㚠,xiao
㚡,ji
㚢,nu|wu
㚣,xiao
㚤,yi
㚥,yu
㚦,yi
㚧,yan
㚨,shen
㚩,ran
㚪,hao
㚫,sa
㚬,jun
㚭,you
㚯,xin
㚰,bi|pei
㚱,qiu
㚲,chan|dian
㚴,bu
㚵,dong
㚶,si|yi
㚷,er
㚹,liu|mao
㚺,yun
㚻,ji
㚽,qiao
㚾,xiong
㚿,pao
㛀,chu
㛁,peng
㛂,nuo
㛃,jie
㛄,yi
㛅,er
㛆,duo
㛊,duo
㛍,qie|xia|xian
㛎,lv
㛏,qiu
㛐,sou
㛑,can
㛒,dou
㛓,xi
㛔,feng|peng
㛕,e|yi
㛖,suo
㛗,qie|suo|zuo
㛘,po
㛙,qie|xin
㛚,tong|yong
㛛,xin
㛜,you
㛝,bei
㛞,long
㛣,yun
㛤,li
㛥,ta
㛦,lan
㛧,man
㛨,qiang
㛩,zhou
㛪,yan
㛫,xi
㛬,lu
㛭,xi
㛮,sao
㛯,fan|mian|zhuan
㛱,wei
㛲,fa
㛳,yi
㛴,nao
㛵,cheng
㛶,tan
㛷,ji
㛸,shu
㛹,pian
㛺,an
㛻,kua
㛼,cha|sha
㛾,xian
㛿,zhi
㜂,feng
㜃,lian
㜄,xun
㜅,xu
㜆,mi
㜇,hui|ye
㜈,mu
㜉,yong
㜊,zhan
㜋,yi
㜌,gou|kou|nou
㜍,tang
㜎,xi
㜏,yun
㜐,shu
㜑,fu
㜒,yi
㜓,da
㜕,lian
㜖,cao
㜗,can|sen
㜘,cha|ju|qu
㜙,lu
㜚,su
㜛,nen
㜜,ao
㜝,an|yan
㜞,can|qian
㜠,cui
㜡,cong
㜣,ran
㜤,nian|tan|tian
㜥,mai
㜦,xin
㜧,yue
㜨,nai
㜩,ao
㜪,shen
㜫,ma
㜮,lan
㜯,xi
㜰,yue
㜱,zhi
㜲,weng
㜳,huai
㜴,meng
㜵,niao
㜶,wan
㜷,mi|xian
㜸,nie
㜹,qu
㜺,zan
㜻,lian
㜼,zhi
㜽,zi
㜾,hai
㜿,xu
㝀,hao
㝁,qiong|xuan
㝂,zhe|zhi
㝃,mian
㝄,chun
㝅,gou
㝇,chun
㝈,luan
㝉,zhu
㝊,shou
㝋,liao
㝌,jiu
㝍,xie
㝎,ding
㝏,jie
㝐,rong
㝑,mang
㝓,ke
㝔,yao
㝕,ning
㝖,yi
㝗,lang
㝘,yong
㝙,yin
㝚,yan
㝛,su
㝝,lin
㝞,ya
㝟,mao
㝠,ming
㝡,zui
㝢,yu
㝣,yi
㝤,gou
㝥,mi
㝦,jun
㝧,wen
㝩,kang
㝪,dian
㝫,long
㝭,xing
㝮,cui
㝯,qiao
㝰,mian
㝱,meng
㝲,qin
㝴,wan
㝵,ai|de
㝶,ai
㝸,bian
㝹,nou
㝺,lian
㝻,jin
㝼,yu
㝽,chui
㝾,zuo
㝿,bo
㞀,hui
㞁,yao
㞂,tui
㞃,ji
㞄,an
㞅,luo
㞆,ji
㞇,wei
㞈,bo
㞉,za
㞊,xu
㞋,ji|nian
㞌,yun
㞎,ba|pa
㞏,jie|zhe
㞐,ju
㞑,wei
㞒,xi|xie
㞓,ji|qi
㞔,yi
㞕,xie
㞖,ci
㞗,qiu
㞘,du
㞙,niao
㞚,qi|zha
㞛,ji
㞜,tui
㞞,song
㞟,dian|ding
㞠,lao
㞡,zhan
㞤,cen|yin
㞥,cen
㞦,ji
㞧,hui
㞨,zi
㞩,lan
㞪,nao
㞫,ju
㞬,qin
㞭,dai
㞯,jie
㞰,xu
㞱,cong
㞲,yong
㞳,dou
㞴,chi|min
㞶,min
㞷,huang
㞸,sui
㞹,ke
㞺,zu
㞻,hao
㞼,cheng
㞽,xue
㞾,ni
㞿,chi
㟀,lian
㟁,an
㟂,mu
㟃,si
㟄,xiang
㟅,yang
㟆,hua
㟇,cuo
㟈,qiu
㟉,lao
㟊,fu
㟋,dui
㟌,mang
㟍,lang
㟎,tui|tuo
㟏,han
㟐,mang
㟑,bo
㟒,qun
㟓,qi
㟔,han
㟖,long
㟗,bin
㟘,tiao
㟙,ze
㟚,qi
㟛,zan
㟜,mi
㟝,pei
㟞,zhan
㟟,xiang
㟠,gang
㟢,qi
㟤,lu
㟦,yun
㟧,e
㟨,duan
㟩,min
㟪,wei
㟫,quan
㟬,sou
㟭,min
㟮,tu
㟰,ming
㟱,yao
㟲,jue
㟳,li
㟴,kuai
㟵,gang
㟶,yuan
㟷,da
㟹,lao
㟺,lou
㟻,qian|zhan
㟼,ao
㟽,biao
㟾,yong
㟿,mang
㠀,dao
㠂,ao
㠄,xi
㠅,fu
㠆,dan
㠇,jiu
㠈,run
㠉,tong
㠊,qu
㠋,e
㠌,qi
㠍,ji
㠎,ji|jie
㠏,hua
㠐,jiao
㠑,zui
㠒,biao
㠓,meng
㠔,bai
㠕,wei
㠖,yi
㠗,ao
㠘,yu
㠙,hao
㠚,dui
㠛,wo
㠜,ni
㠝,cuan
㠟,li
㠠,lu
㠡,niao
㠢,huai
㠣,li
㠥,lei|lv
㠦,feng
㠧,mi
㠨,yu
㠪,ju
㠭,zhan
㠮,gang|peng
㠯,yi
㠱,ji|qi
㠲,bi
㠴,ren
㠵,huang
㠶,fan
㠷,ge
㠸,ku
㠹,jie
㠺,miao|sha
㠼,si
㠽,tong
㠾,yuan
㠿,ci|zi
㡀,bi
㡁,kua
㡂,li
㡃,huang
㡄,xun
㡅,nuo
㡇,jie|zhe
㡈,men|mian|wen
㡉,xian
㡊,qia
㡋,an|ye
㡌,mao
㡏,shu|tou|xu
㡑,jiao|qiao
㡒,zhun
㡓,kun
㡔,wu
㡕,ying
㡖,chuang
㡗,ti
㡘,lian|lin
㡙,bi
㡚,gou
㡛,mang
㡜,xie|xue
㡝,feng
㡞,lou|lv
㡟,zao
㡠,zheng
㡡,chu
㡢,man
㡣,long
㡥,yin
㡦,pin
㡧,zheng
㡨,jian|qian
㡩,luan
㡪,nie
㡫,yi
㡭,ji
㡮,ji
㡯,du|duo|zhai
㡰,yu
㡱,jiu
㡲,huan
㡳,zhi
㡴,la
㡵,ling
㡶,zhi
㡷,ben
㡸,cha|zha
㡹,ju
㡺,dan
㡻,liao
㡼,yi
㡽,zhao
㡾,xian
㡿,chi
㢀,ci
㢁,chi|shi
㢂,dui|tui|yan
㢃,lang
㢄,dou
㢅,long
㢆,chan
㢈,dui|tui
㢉,cha
㢊,ai|yi
㢋,chi
㢍,ying
㢎,zhe
㢏,tou|yu
㢑,tui
㢒,cha
㢓,yao
㢔,zong
㢖,ban|pan
㢗,qiao
㢘,lian
㢙,qin
㢚,lu
㢛,qian|yan
㢜,kang
㢝,su
㢞,yi
㢟,chan
㢠,jiong
㢡,jiang
㢣,jing
㢥,dong
㢧,juan
㢨,han
㢩,di
㢬,hong
㢮,chi
㢯,diao|min
㢰,bi
㢲,xun
㢳,lu
㢵,she|xie
㢶,bi
㢸,bi
㢺,xian
㢻,rui
㢼,bie
㢽,er
㢾,juan
㣀,zhen
㣁,bei
㣂,e
㣃,yu
㣄,qu
㣅,zan
㣆,mi
㣇,yi
㣈,si
㣌,shan
㣍,tai
㣎,mu
㣏,jing
㣐,bian
㣑,rong
㣒,ceng
㣓,can
㣔,ding
㣙,di|zhou
㣚,dong|tong
㣛,hui|ta
㣜,xing
㣝,song
㣞,duo
㣟,xi
㣠,tao|tong
㣢,ti
㣣,shan
㣤,jian
㣥,zhi
㣦,wei
㣧,yin
㣪,huan
㣫,dong|zhong
㣬,qi
㣭,zong
㣯,xie
㣰,xie
㣱,ze
㣲,wei
㣵,ta
㣶,zhan
㣷,ning
㣺,xin
㣻,yi
㣼,ren
㣽,nu|shu
㣾,cha
㣿,diao|zhuo
㤁,mian
㤂,ji
㤃,fang
㤄,pei
㤅,ai|ji|xi
㤆,fan
㤇,ao
㤈,qin
㤉,qia|ya
㤊,xiao
㤋,fen
㤌,gan
㤍,qiao
㤎,ge
㤏,tong
㤐,chan
㤑,you
㤒,gao
㤓,ben
㤔,fu
㤕,chu|po
㤖,zhu
㤘,zhou
㤚,hang
㤛,nin
㤜,jue
㤝,chong
㤞,cha|duo|ze
㤟,kong
㤠,lie
㤡,li|lie
㤢,yu
㤤,yu
㤥,hai
㤦,li
㤧,hou
㤨,gong
㤩,ke
㤪,yuan
㤫,de
㤬,hui
㤮,guang
㤯,jiong
㤰,zuo
㤱,dou|fu
㤲,qie
㤳,bei
㤴,che|die|she
㤵,ci
㤶,mang
㤷,han
㤸,xi
㤹,jiu|qiu
㤺,huang
㤽,chou
㤾,san|tan
㤿,yan
㥀,de|zhi
㥁,de
㥂,te
㥃,men
㥄,ling
㥅,shou
㥆,tui
㥇,can
㥈,die
㥉,che
㥊,peng
㥋,yi
㥌,ju
㥍,ji
㥎,lai
㥏,tian
㥐,yuan
㥒,cai
㥓,qi
㥔,yu
㥕,lian
㥖,cong
㥚,yu
㥛,ji|ke
㥜,wei
㥝,mi
㥞,sui
㥟,xie
㥠,xu
㥡,chi
㥢,jiu|qiu
㥣,hui
㥥,yu
㥦,qie
㥧,shun
㥨,shui|wei
㥩,duo
㥪,lou
㥬,pang
㥭,tai
㥮,chao|zhou
㥯,yin
㥰,sao
㥱,fei
㥲,chen|shen
㥳,yuan
㥴,ti|yi
㥵,hun
㥶,qian|se
㥷,ye
㥸,min
㥹,fen
㥺,he
㥼,yan|yin
㥽,ce|ze
㥾,ni
㥿,ao
㦀,feng
㦁,lian
㦂,chang
㦃,chan
㦄,ma
㦅,chai|di|die
㦆,hu|xia
㦇,lu
㦉,yi
㦊,hua
㦋,zha
㦌,hu|xu
㦍,e
㦎,huo
㦏,sun|xuan
㦐,ni
㦑,han|xian
㦒,li
㦓,ran|xian
㦔,yan
㦕,long
㦖,men
㦗,jin
㦘,ji
㦚,bian
㦛,yu
㦜,huo|xue
㦝,miao
㦞,chou
㦟,mai
㦡,le
㦢,jie
㦣,wei
㦤,yi
㦥,xian|xuan
㦦,xi
㦧,can
㦨,lan
㦩,yin
㦪,xie
㦫,za
㦬,luo
㦭,ling
㦮,qian
㦯,huo
㦰,jian
㦱,wo
㦴,ge
㦵,zhu
㦶,die|yong
㦷,yong
㦸,ji
㦹,yang
㦺,ru
㦻,xi
㦼,shuang
㦽,yu
㦾,yi
㦿,hu|qian
㧀,ji
㧁,he|qu
㧂,tian
㧃,jiu|shou
㧄,qian
㧅,dao|mu
㧆,jin
㧇,mao
㧈,yin
㧉,gai|hai|ye
㧊,ba|po
㧋,xuan
㧌,mao
㧍,beng|fang
㧎,qia|ya
㧏,gang
㧐,song
㧑,hui
㧒,yu
㧓,gua
㧔,guai
㧕,liu
㧖,e
㧗,ji|zhi|zi
㧘,zi
㧙,bi|bie
㧚,wa
㧜,lie
㧟,kuai
㧡,hai|wei
㧢,yin
㧣,zhu
㧤,chong
㧥,xian
㧦,hong|xuan
㧨,qiu
㧩,pei
㧪,gui|wei
㧫,er|ruan|rui
㧬,gong
㧭,qiong
㧮,hu
㧯,lao
㧰,li
㧱,chen
㧲,san
㧳,bai|zhuo
㧴,e|wo
㧵,pou
㧶,keng
㧷,tun
㧸,peng
㧹,te
㧺,ta
㧻,du|zhuo|zu
㧼,biao
㧽,gu
㧾,hu
㨀,bing
㨁,zhi
㨂,dong
㨃,cheng|dui
㨄,tiao|zhao|zhou
㨅,nei|rui
㨆,lin
㨇,po
㨈,ji
㨉,min|wen
㨊,duo|tuo|wei
㨋,che
㨌,gou
㨍,bang
㨎,ru
㨏,tan
㨐,bu
㨑,zong
㨒,kui
㨓,lao
㨔,han
㨕,ying
㨖,zhi
㨗,jie
㨘,xing
㨙,xi|xie
㨚,sun|xun
㨛,shan
㨜,qian
㨝,xie
㨞,su
㨟,hai
㨠,mi
㨡,hun
㨢,pi
㨤,hui
㨥,na
㨦,song
㨧,ben
㨨,chou|liu
㨩,jie
㨪,huang
㨫,lan
㨭,hu
㨮,dou
㨯,huo
㨰,gun
㨱,yao
㨲,ce
㨳,gui|ji
㨴,jian
㨵,jian
㨶,dao
㨷,jin
㨸,ma
㨹,hui|xue
㨺,men|mian
㨻,can|chan|shan|zan
㨼,lve
㨽,pi
㨾,yang
㨿,ju
㩀,ju
㩁,que
㩃,qian
㩄,shai
㩆,jiu|zu
㩇,hua|huo|zuo
㩈,yun
㩉,da|la|xi|xie
㩊,xuan
㩋,su|xiao
㩌,fei
㩍,ce
㩎,ye
㩐,den
㩒,qin
㩓,hui
㩔,tun
㩖,qiang
㩗,xi
㩘,ni
㩙,sai
㩚,meng
㩛,tuan
㩜,lan
㩝,hao
㩞,ci
㩟,zhai
㩠,ao|piao|pou
㩡,luo
㩢,mi|mie
㩤,fu
㩦,xi|xie
㩧,bo
㩨,hui
㩩,qing
㩪,xie
㩭,bo
㩮,qian
㩯,po
㩰,jiao
㩱,jue
㩲,kun
㩳,song
㩴,ju|qu
㩵,e
㩶,nie
㩷,qian
㩸,die
㩹,die
㩻,gui|qi
㩼,zhi
㩽,chi|e|qi
㩾,qi|zhui
㩿,ku
㪀,yu
㪁,kan|qian|qin
㪂,ku
㪃,he
㪄,fu
㪅,geng
㪆,di
㪇,xian
㪈,gui
㪉,he
㪊,qun
㪋,han|he
㪌,tong
㪍,bei|bo
㪎,na|shan
㪏,bi
㪐,lu
㪑,ye
㪒,ni
㪓,chuai
㪔,san
㪕,chuo|diao
㪖,lu
㪗,tou
㪘,lian
㪙,ke
㪚,san
㪛,zhen
㪜,chuai|duo
㪝,lian
㪞,mao
㪠,jian|qian
㪡,kai|ke
㪢,shao
㪣,qiao|xiao
㪤,bi
㪥,zha
㪦,yin
㪧,xi
㪨,shan
㪩,su
㪪,sa
㪫,rui
㪬,chuo|zhuo
㪭,lu
㪮,ling
㪯,cha
㪱,huan
㪴,jia
㪵,ban
㪶,hu
㪷,dou
㪹,lou
㪺,ju
㪻,juan
㪼,ke
㪽,suo
㪾,ge|luo
㪿,zhe
㫀,ding
㫁,duan
㫂,zhu
㫃,yan
㫄,pang
㫅,cha
㫊,e|yi
㫍,yao|you
㫎,gun|hui
㫏,yao
㫐,yao
㫑,shi|zhi
㫒,gong
㫓,qi
㫔,gen
㫗,hou
㫘,mi
㫙,fu
㫚,hu
㫛,guang
㫜,tan
㫝,di
㫟,yan
㫢,qu
㫤,chang
㫥,ming
㫦,tao
㫧,bao
㫨,an
㫫,xian
㫯,mao
㫰,lang
㫱,nan
㫲,bei
㫳,chen
㫵,fei
㫶,zhou
㫷,ji
㫸,jie
㫹,shu
㫻,kun
㫼,die
㫽,lu
㬂,yu
㬃,tai
㬄,chan
㬅,man
㬆,min
㬇,huan
㬈,wen
㬉,nuan
㬊,huan
㬋,hou
㬌,jing
㬍,bo
㬎,xian
㬏,li
㬐,jin|zi
㬒,mang
㬓,piao
㬔,hao
㬕,yang
㬗,xian
㬘,su
㬙,wei
㬚,che
㬛,xi
㬜,jin
㬝,ceng|song
㬞,he
㬟,fen
㬠,sha|shai
㬡,ling
㬣,dui
㬤,qi
㬥,bo|pu
㬦,yue
㬧,bo
㬩,hui
㬪,die
㬫,yan
㬬,ju
㬭,jiao
㬮,nan
㬯,lie
㬰,yu
㬱,ti
㬲,tian
㬳,wu
㬴,hong
㬵,xiao
㬶,hao
㬸,tiao
㬹,zheng
㬻,hang|huang
㬼,fu
㬿,tun
㭁,reng
㭂,jiao
㭄,xin
㭇,yuan
㭈,jue
㭉,hua
㭋,bang
㭌,mou
㭎,gang
㭏,wei
㭑,mei
㭒,si
㭓,bian
㭔,lu
㭕,qu
㭘,ge|he
㭙,zhe
㭚,lv
㭛,ba|pai
㭜,rong
㭝,ou|qiu
㭞,lie
㭟,gong
㭠,xian
㭡,xi|xin
㭢,xin
㭤,niao
㭨,xie
㭩,lie
㭪,fu
㭫,cuan|cuo
㭬,zhuo
㭭,ba|bei|bie
㭮,zan|zuo
㭯,die|zhe
㭰,zui
㭱,he
㭲,ji
㭴,jian
㭸,tu
㭹,xian
㭺,an|yan
㭻,tang
㭼,ta
㭽,di
㭾,jue
㭿,ang
㮀,han
㮁,xiao
㮂,ju
㮃,rui|wei
㮄,bang
㮅,zhui
㮆,nie
㮇,tian
㮈,nai
㮋,you
㮌,mian
㮏,na|nai|ni
㮐,sheng|si
㮑,cha|qi
㮒,yan|yin
㮓,gen
㮔,chong|tong
㮕,ruan
㮖,jia
㮗,qin
㮘,mao
㮙,e
㮚,li
㮛,chi|yi
㮜,zang
㮝,he
㮞,jie
㮟,ka|nian
㮡,guan
㮢,hou
㮣,gai
㮥,ben|fan
㮦,se|suo
㮧,wen|wu
㮨,ji
㮩,xi
㮪,qiong
㮫,he|qia|xia
㮬,weng
㮭,xian
㮮,jie
㮯,hua|hun
㮰,pi
㮱,shen
㮲,chou
㮳,zhen
㮵,zhan
㮶,shuo
㮷,ji
㮸,song
㮹,zhi
㮺,ben
㮾,lang
㮿,bi
㯀,xuan
㯁,pei
㯂,dai
㯃,qi
㯄,zhi
㯅,bi|pi
㯆,chan|shan
㯇,bi
㯈,su
㯉,huo
㯊,hen
㯋,jiong|ying
㯌,chuan
㯍,jiang
㯎,nen
㯏,gu
㯐,fang
㯓,da|ta
㯔,cui
㯕,xi
㯖,de
㯗,xian
㯘,kuan
㯙,zhe
㯚,ta
㯛,hu
㯜,cui
㯝,lu
㯞,juan
㯟,lu
㯠,qian
㯡,pao
㯢,zhen
㯤,li
㯥,cao|zao
㯦,qi
㯩,ti
㯪,ling
㯫,qu
㯬,lian
㯭,lu
㯮,shu
㯯,dan|gong|ju
㯰,zhe
㯱,pao
㯲,jin
㯳,qing
㯶,zong
㯷,pu
㯸,jin
㯹,biao
㯺,jian
㯻,gun
㯽,bin
㯾,zao
㯿,la|lie
㰀,li
㰁,luo
㰂,shen
㰃,mian
㰄,jian
㰅,di|zhe
㰆,bei
㰈,lian
㰊,xian
㰋,pin
㰌,que
㰍,long
㰎,zui
㰐,jue
㰑,shan
㰒,xue
㰔,xie
㰖,lan
㰗,qi
㰘,yi
㰙,nuo
㰚,li
㰛,yue
㰝,yi
㰞,chi
㰟,ji|qi
㰠,hang
㰡,xie
㰢,keng
㰣,zi
㰤,he|qie
㰥,hui|xi
㰦,qu
㰧,hai
㰨,xia
㰩,hai
㰪,gui
㰫,chan
㰬,xun
㰭,xu
㰮,shen
㰯,hou|kou|tou
㰰,he|qie|xia
㰱,sha
㰲,xu|yu
㰳,ya
㰴,pou
㰵,zu
㰶,ou|you
㰷,zi
㰸,lian
㰹,han|xian
㰺,xia
㰻,hou|xi|yi
㰼,qie|sha
㰽,yan
㰾,jiao
㰿,xi
㱀,chi
㱁,kuan|shi
㱂,kang
㱃,yin
㱄,hei|mo
㱅,yi
㱆,xi
㱇,se|xi
㱈,jin
㱉,ye
㱊,you
㱋,que
㱌,che|ye
㱍,luan
㱎,kun
㱏,zheng
㱔,xie
㱖,cui
㱗,xiu
㱘,an
㱙,gua|xiu
㱚,can
㱛,bu|chuan
㱜,zha
㱞,la|yi
㱟,pi
㱠,gu|ku
㱡,sheng
㱢,lang
㱣,tui
㱤,xi
㱥,leng|ling
㱦,qi
㱧,wo|yuan
㱨,lian
㱩,du
㱪,men
㱫,lan
㱬,wei
㱭,duan
㱮,hui|kuai
㱯,ai
㱰,zai
㱱,hui
㱲,yi
㱳,mo
㱴,zi
㱵,fen
㱶,beng|peng
㱸,bi
㱹,li
㱺,lu
㱻,luo
㱼,hai
㱽,qin|zhen
㱾,gai|kai
㱿,hu|qiang|que
㲀,chen|zhen
㲁,kong|zhong
㲂,cheng
㲃,jiu
㲄,jue|ku
㲅,ji
㲆,ling
㲈,shao|tao
㲉,que
㲊,rui
㲋,chuo
㲌,neng
㲍,zhi
㲎,lou
㲏,pao
㲒,bao|qu
㲓,rong|shu
㲔,xian
㲕,lei
㲖,xiao
㲗,fu
㲘,qu
㲚,sha
㲛,zhi
㲜,tan
㲝,rong
㲞,su|zu
㲟,ying
㲠,mao
㲡,nai
㲢,bian
㲤,shuai
㲥,tang
㲦,han
㲧,sao
㲨,rong
㲪,deng
㲫,pu
